Year,SP500,Bonds,MSCIEF
1996,	22.96,	2.9,	6.03
1997,	33.36,	9.64,	-11.59
1998,	28.58,	13.47,	-25.34
1999,	21.04,	-8.25,	66.41
2000,	-9.1,	16.66,	-30.61
2001,	-11.89,	5.57,	-2.37
2002,	-22.1,	15.12,	-6.17
2003,	28.68,	0.38,	56.28
2004,	10.88,	4.49,	25.95
2005,	4.91,	2.87,	34.54
2006,	15.79,	1.01,	32.55
2007,	5.49,	9.88,	39.75
2008,	-37,	-22.34,	-53.18
2009,	26.46,	12.91,	79.02
2010,	15.06,	5.88,	19.2
2011,	2.11,	16.04,	-18.17
2012,	16,	4.21,	18.63
2013,	32.39,	-9.1,	-2.27
2014,	13.69,	10.75,	-1.82
2015,	1.38,	1.28,	-14.6
2016,	11.96,	1.04,	11.6
2017,	21.83,	2.75,	37.75
2018,	-4.38,	-0.12,	-14.25
2019,	31.49,	11.23,	18.48
2020,	18.4,	8,	18.31
2021,	28.71,	-2.32,	-2.54
2022,	-18.11,	-13.01,	-20.09
2023,	26.29,	3.86,	9.83
2024,	25.02,	4.14,	7.5
2025,	17.88,	-6.6,	33.57
